[MATCH1]: 1 at 2  with score: 0.033406613500691976
[MATCH1]: 2 at 2  with score: 0.004194844647744972
[MATCH1]: 1 at 3  with score: 0.07180909424127069
[MATCH1]: 2 at 3  with score: 0.02060966275323542
[MATCH1]: 1 at 4  with score: 0.049586648219889944
[MATCH1]: 2 at 4  with score: 0.0289669004778364
[MATCH1]: 1 at 5  with score: 0.054805635662424974
[MATCH1]: 2 at 5  with score: 0.023040806639752144
[MATCH1]: 1 at 6  with score: 0.07168239661428288
[MATCH1]: 2 at 6  with score: 0.017041100314891276
[MATCH1]: 1 at 7  with score: 0.06065844698490929
[MATCH1]: 2 at 7  with score: 0.017174140992454595
[MATCH1]: 1 at 8  with score: 0.07607505672765895
[MATCH1]: 2 at 8  with score: 0.02256330199510335
[MATCH1]: 1 at 9  with score: 0.039914330504993246
[MATCH1]: 2 at 9  with score: 0.021516357838491585
[MATCH1]: 1 at 10  with score: 0.09039729034376193
[MATCH1]: 2 at 10  with score: 0.01032201842574495
[MATCH1]: 1 at 11  with score: 0.03895074676637831
[MATCH1]: 2 at 11  with score: 0.003315482405004605
[MATCH1]: 1 at 12  with score: 0.0432774265988313
[MATCH1]: 2 at 12  with score: 0.03835131814798162
[MATCH1]: 1 at 13  with score: 0.03671384081649008
[MATCH1]: 2 at 13  with score: 0.0194700595282699
[MATCH1]: 1 at 14  with score: 0.01878175397073632
[MATCH1]: 2 at 14  with score: 0.015401765166246629
[MATCH1]: 1 at 15  with score: 0.04702501424439414
[MATCH1]: 2 at 15  with score: 0.028186359781707932
[MATCH1]: 1 at 16  with score: 0.029970167294302238
[MATCH1]: 2 at 16  with score: 0.020186287878481517
[MATCH1]: 1 at 17  with score: 0.054448489812059596
[MATCH1]: 2 at 17  with score: 0.017388797428744406
[MATCH1]: 1 at 18  with score: 0.07539614054804505
[MATCH1]: 2 at 18  with score: 0.023766929448311835
[MATCH1]: 1 at 19  with score: 0.05928565818010722
[MATCH1]: 2 at 19  with score: 0.0270001766313007
